0.5, -0.5, 0.27892828, -0.1268385, -0.28916174
-0.5, -0.0999, 0.32866377, -0.190928, -0.07891475
-0.5, -0.5, 0.4518, 0.0839, 0.247
-0.14193474, -0.09563027, 0.34030625, -0.33942878, 0.078181565
-0.5, 0.0999, 0.29110417, -0.16247196, -0.089091025
0.2857, -0.5, 0.29788387, -0.18396026, -0.20746697
-0.5, -3.0E-4, 0.46766284, -0.3872954, 0.09823075
-0.5, -0.5, 0.29665476, -0.255348, -0.12275
0.0714, -0.5, 0.34279823, -0.18188275, -0.248874
-0.1429, 0.0999, 0.321735, -0.33734998, -0.047505
-0.5, -0.5, -0.031115001, 0.4396035, -0.06547425
-0.5, -0.0999, 0.28125986, -0.039927103, -0.2887637
0.014538465, -3.0E-4, 0.46456066, -0.344557, 0.13867842
-0.5, -0.5, 0.36210525, 0.3688415, -0.0011022491
-0.1429, -0.0999, 0.29662558, -0.24149095, -0.16300833
0.0714, -0.5, 0.2793794, 0.0023661242, 0.004479274
-0.5, -0.5, 0.3204673, 0.007896667, -0.23518825
-0.5, -0.5, 0.4431983, -0.17173246, -0.026697861
-0.5, 0.5, 0.4393272, -0.20504455, 0.24844018
0.2857, -0.5, 0.30028406, -0.22351542, 0.09761415
-0.1429, -0.5, 0.32512334, -0.32744277, -0.03167061
-0.5, 0.0999, 0.381715, 0.03852, 0.078455
-0.141539, 0.0901305, 0.38246003, -0.3381407, 0.19050324
-0.5, -0.5, 0.4106, 0.3604, 0.3723
-0.5, 0.5, 0.25632, -0.09522, -0.22039999
0.0714, -0.5, 0.262515, 0.10482, -0.173995
-0.5, 0.5, 0.4273, 0.0954, 0.2905
-0.5, -0.5, 0.315, 0.1954, -0.1672
0.0714, -0.5, 0.33540174, -0.2846945, 0.022821499
0.0714, -0.5, 0.2344, 0.2039, 0.0052
-0.5, -0.5, -0.4111, 0.4086, -0.4151
-0.1286, -0.0999, 0.4533, -0.4835, 0.1702
